Nombre,Marca,Coste,Género,Url,web_origen
Chuck Taylon Shoreline,converse,"49,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/converse-chuck-taylon-shoreline-0304597,sprinter.com
Runfalcon 2.0,adidas,"44,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/adidas-runfalcon-2-0-0306235,sprinter.com
Downshifter 11,nike,"54,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/nike-downshifter-11-0309573,sprinter.com
Adizero Boston 9,adidas,"129,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/adidas-adizero-boston-9-0306246,sprinter.com
Doheny,vans,"59,99 ",Mujer,https://www.sprintersports.com/zapatillas-de-mujer/vans-doheny-0305632,sprinter.com
X-ray Lite,puma,"59,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/puma-x-ray-lite-0297469,sprinter.com
Provoke Xt,puma,"89,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/puma-provoke-xt-0304807,sprinter.com
Galaxy 5,adidas,"44,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/adidas-galaxy-5-0306189,sprinter.com
Air Max Bella Tr 4,nike,"74,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/nike-air-max-bella-tr-4-0309673,sprinter.com
Runfalcon 2.0,adidas,"44,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/adidas-runfalcon-2-0-0306182,sprinter.com
Doheny,vans,"59,99 ",Mujer,https://www.sprintersports.com/zapatillas-de-mujer/vans-doheny-0305630,sprinter.com
Courtpoint Base,adidas,"49,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/adidas-courtpoint-base-0306172,sprinter.com
Air Max Sc,nike,"74,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/nike-air-max-sc-0309709,sprinter.com
Air Max Bella Tr 4,nike,"74,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/nike-air-max-bella-tr-4-0309671,sprinter.com
Superrep Go 2,nike,"89,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/nike-superrep-go-2-0309568,sprinter.com
Renew In Season Tr10,nike,"69,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/nike-renew-in-season-tr10-0309663,sprinter.com
Chuck Taylor All Star,converse,"84,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/converse-chuck-taylor-all-star-0310191,sprinter.com
X-ray Lite,puma,"59,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/puma-x-ray-lite-0297467,sprinter.com
