Nombre,Marca,Coste,Género,Url,web_origen
"Zapatillas running ULTRABOOST 20
","
adidas","149,99",Mujer,https://www.intersport.es/adidas-zapatillas-running-ultraboost-20-lo-ultimo-en-sneakers-iic.adidas.fx7992.01f7.html?dwvar_iic.adidas.fx7992.01f7_color=01f7&cgid=,intersport.com
"Zapatillas running Solarboost 19
","
adidas","101,99",Mujer,https://www.intersport.es/adidas-zapatillas-running-solarboost-19-rebajas-deportivas-iic.adidas.ee4331.aa2r.html?dwvar_iic.adidas.ee4331.aa2r_color=aa2r&cgid=,intersport.com
"Zapatillas running Ultraboost 20
","
adidas","149,99",Mujer,https://www.intersport.es/adidas-zapatillas-running-ultraboost-20-lo-ultimo-en-sneakers-iic.adidas.fz0174.a0qm.html?dwvar_iic.adidas.fz0174.a0qm_color=a0qm&cgid=,intersport.com
"Zapatillas VL Court 2.0
","
adidas","64,99",Mujer,https://www.intersport.es/adidas-zapatillas-vl-court-2.0-sneakers-iic.adidas.fy8812.adwa.html?dwvar_iic.adidas.fy8812.adwa_color=adwa&cgid=,intersport.com
"Zapatillas de Tenis CourtJam Bounce
","
adidas","79,99",Mujer,https://www.intersport.es/adidas-zapatillas-de-tenis-courtjam-bounce-zapatillas-tenis-iic.adidas.fx1523.advw.html?dwvar_iic.adidas.fx1523.advw_color=advw&cgid=,intersport.com
"Zapatillas running Solar Boost 21
","
adidas","159,99",Mujer,https://www.intersport.es/adidas-zapatillas-running-solar-boost-21-aniversario-intersport-iic.adidas.fy0303.abzk.html?dwvar_iic.adidas.fy0303.abzk_color=abzk&cgid=,intersport.com
"Zapatillas Adizero Ubersonic 4
","
adidas","139,99",Mujer,https://www.intersport.es/adidas-zapatillas-adizero-ubersonic-4-zapatillas-running-iic.adidas.fx1368.01f7.html?dwvar_iic.adidas.fx1368.01f7_color=01f7&cgid=,intersport.com
"Zapatillas Duramo SL
","
adidas","54,99",Mujer,https://www.intersport.es/adidas-zapatillas-duramo-sl-zapatillas-running-iic.adidas.fy6703.adwd.html?dwvar_iic.adidas.fy6703.adwd_color=adwd&cgid=,intersport.com
"Zapatillas running SenseBOOST GO
","
adidas","82,99",Mujer,https://www.intersport.es/adidas-zapatillas-running-senseboost-go-rebajas-deportivas-iic.adidas.ef1577.54f0.html?dwvar_iic.adidas.ef1577.54f0_color=54f0&cgid=,intersport.com
"Zapatilla Entrap
","
adidas","64,95",Mujer,https://www.intersport.es/adidas-zapatilla-entrap-mujer-iic.adidas.eg4329.01f7.html?dwvar_iic.adidas.eg4329.01f7_color=01f7&cgid=,intersport.com
"Chancla Adilette Aqua
","
adidas","19,95",Mujer,https://www.intersport.es/adidas-chancla-adilette-aqua-chanclas-y-sandalias-iic.adidas.f35543.a0qm.html?dwvar_iic.adidas.f35543.a0qm_color=a0qm&cgid=,intersport.com
"Zapatillas VL Court 2.0
","
adidas","64,99",Mujer,https://www.intersport.es/adidas-zapatillas-vl-court-2.0-sneakers-iic.adidas.fy8811.a2jm.html?dwvar_iic.adidas.fy8811.a2jm_color=a2jm&cgid=,intersport.com
"Zapatillas Grand Court 
","
adidas","74,99",Mujer,https://www.intersport.es/adidas-zapatillas-grand-court--sneakers-iic.adidas.fy8949.01f7.html?dwvar_iic.adidas.fy8949.01f7_color=01f7&cgid=,intersport.com
"Zapatilla VL Court 2.0
","
adidas","59,95",Mujer,https://www.intersport.es/adidas-zapatilla-vl-court-2.0-sneakers-blanco-iic.adidas.b42314.01f7.html?dwvar_iic.adidas.b42314.01f7_color=01f7&cgid=,intersport.com
"Zapatillas running SL20
","
adidas","75,99",Mujer,https://www.intersport.es/adidas-zapatillas-running-sl20-rebajas-deportivas-iic.adidas.eg2046.adak.html?dwvar_iic.adidas.eg2046.adak_color=adak&cgid=,intersport.com
"Zapatillas running AstraRun 2.0
","
adidas","98,99",Mujer,https://www.intersport.es/adidas-zapatillas-running-astrarun-2.0-zapatillas-running-iic.adidas.fy2337.a0qm.html?dwvar_iic.adidas.fy2337.a0qm_color=a0qm&cgid=,intersport.com
"Zapatillas running Duramo SL
","
adidas","41,99-54,99",Mujer,https://www.intersport.es/adidas-zapatillas-running-duramo-sl-aniversario-intersport-iic.adidas.fv8794.a0qm.html?dwvar_iic.adidas.fv8794.a0qm_color=a0qm&cgid=,intersport.com
